age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
73,retired,divorced,tertiary,no,1754,no,no,cellular,12,aug,2,-1,0,unknown,no
31,services,divorced,secondary,no,1618,yes,no,cellular,13,apr,2,-1,0,unknown,yes
31,blue-collar,single,secondary,no,1904,no,yes,cellular,10,jul,3,-1,0,unknown,yes
52,blue-collar,married,unknown,no,3861,yes,no,telephone,31,jul,17,-1,0,unknown,yes
33,technician,single,secondary,no,2036,yes,no,unknown,12,may,2,-1,0,unknown,no
51,management,married,secondary,no,3028,yes,no,cellular,19,nov,2,-1,0,unknown,yes
37,admin.,single,secondary,no,1455,yes,no,cellular,13,may,1,-1,0,unknown,yes
32,entrepreneur,married,secondary,no,2363,yes,no,cellular,19,nov,1,183,1,other,no
61,retired,single,secondary,no,1771,yes,no,unknown,27,may,5,-1,0,unknown,yes
61,retired,divorced,secondary,no,7252,no,no,cellular,14,may,2,-1,0,unknown,yes
43,technician,single,secondary,no,2039,no,no,cellular,5,feb,1,-1,0,unknown,no
38,admin.,married,secondary,no,2508,yes,no,unknown,14,may,2,-1,0,unknown,no
56,management,divorced,tertiary,no,3590,yes,yes,telephone,18,nov,1,-1,0,unknown,yes
50,management,married,secondary,no,5849,yes,no,cellular,8,apr,3,141,7,failure,yes
32,management,single,tertiary,no,1422,yes,yes,cellular,25,jul,8,-1,0,unknown,yes
47,blue-collar,divorced,primary,no,1109,yes,no,unknown,23,may,1,-1,0,unknown,yes
40,blue-collar,married,secondary,no,1682,yes,yes,unknown,3,jun,6,-1,0,unknown,no
41,self-employed,single,tertiary,no,1841,no,no,unknown,18,jun,1,-1,0,unknown,yes
62,technician,married,primary,no,1475,yes,no,unknown,9,may,2,-1,0,unknown,yes
58,admin.,divorced,unknown,no,2283,yes,no,cellular,8,may,1,360,2,failure,no
53,self-employed,married,tertiary,no,3448,no,no,unknown,16,jun,1,-1,0,unknown,no
47,blue-collar,divorced,primary,no,2266,no,no,unknown,5,jun,3,-1,0,unknown,yes
42,blue-collar,married,secondary,no,677,yes,yes,cellular,16,jul,2,-1,0,unknown,yes
34,services,married,primary,no,1649,yes,no,cellular,21,jul,6,-1,0,unknown,yes
38,services,married,secondary,no,1962,yes,no,unknown,19,jun,1,-1,0,unknown,no
45,management,married,tertiary,no,2850,yes,no,cellular,19,nov,1,198,2,other,yes
30,blue-collar,single,primary,no,2735,yes,no,cellular,30,jul,20,-1,0,unknown,no
47,services,single,secondary,no,3233,yes,no,cellular,20,apr,3,326,1,other,no
52,management,married,unknown,no,4821,no,no,unknown,5,jun,2,-1,0,unknown,no
57,retired,divorced,secondary,no,3101,no,yes,unknown,19,jun,1,-1,0,unknown,yes
81,retired,married,primary,no,1918,no,no,telephone,8,jul,2,-1,0,unknown,yes
63,management,married,secondary,no,2504,no,no,cellular,18,aug,6,-1,0,unknown,yes
42,blue-collar,single,secondary,no,1496,no,no,cellular,19,nov,1,-1,0,unknown,yes
49,services,married,secondary,no,1929,no,yes,cellular,8,aug,2,-1,0,unknown,yes
49,housemaid,single,tertiary,no,5164,no,no,unknown,12,jun,6,-1,0,unknown,yes
36,technician,single,secondary,no,1539,no,no,cellular,13,aug,1,-1,0,unknown,yes
51,entrepreneur,divorced,unknown,yes,718,yes,no,cellular,30,jul,2,-1,0,unknown,yes
56,technician,married,secondary,no,1418,no,no,telephone,16,nov,1,94,8,failure,no
43,management,married,primary,no,6834,yes,no,cellular,17,nov,1,-1,0,unknown,yes
51,blue-collar,married,unknown,no,1754,yes,no,unknown,7,may,1,-1,0,unknown,no
54,admin.,married,secondary,no,1696,no,no,cellular,28,jan,2,189,1,other,no
42,blue-collar,married,primary,no,5163,yes,no,unknown,14,may,1,-1,0,unknown,no
32,technician,married,tertiary,no,2051,no,no,cellular,27,aug,12,-1,0,unknown,yes
49,technician,divorced,tertiary,no,1989,yes,no,telephone,7,may,1,366,1,failure,no
68,management,married,tertiary,no,2473,yes,no,cellular,23,jun,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,2059,yes,no,cellular,18,jul,1,-1,0,unknown,yes
49,technician,married,secondary,no,2596,yes,no,cellular,30,apr,1,87,5,failure,yes
39,blue-collar,married,secondary,no,2210,yes,no,unknown,6,jun,1,-1,0,unknown,no
30,services,single,secondary,no,1069,yes,yes,unknown,21,may,2,-1,0,unknown,no
55,services,divorced,secondary,no,2268,yes,no,cellular,14,may,3,174,7,other,yes
34,management,single,tertiary,no,3960,yes,no,cellular,26,aug,6,-1,0,unknown,yes
34,blue-collar,single,secondary,no,1169,no,yes,unknown,2,jul,3,-1,0,unknown,no
36,blue-collar,married,secondary,no,1554,yes,yes,unknown,8,may,2,-1,0,unknown,no
44,services,divorced,secondary,no,1675,yes,no,cellular,12,may,2,-1,0,unknown,yes
43,blue-collar,divorced,primary,no,2092,no,yes,cellular,15,jul,5,-1,0,unknown,yes
38,unemployed,single,tertiary,no,10439,yes,no,unknown,11,jun,3,-1,0,unknown,no
44,blue-collar,single,secondary,no,1564,yes,yes,cellular,13,may,3,370,4,failure,yes
36,technician,single,secondary,no,4128,yes,no,cellular,6,apr,1,139,1,success,no
40,services,single,secondary,no,3673,yes,no,cellular,13,may,3,-1,0,unknown,yes
37,entrepreneur,single,secondary,no,1877,no,yes,cellular,21,jul,4,-1,0,unknown,no
36,management,married,tertiary,no,5587,yes,no,unknown,21,may,1,-1,0,unknown,no
44,admin.,divorced,secondary,no,2351,no,no,cellular,30,jan,1,-1,0,unknown,yes
34,student,married,secondary,no,3219,yes,no,cellular,28,jan,1,-1,0,unknown,no
58,unemployed,divorced,primary,no,1630,no,no,cellular,15,jul,4,-1,0,unknown,no
47,blue-collar,married,primary,no,1531,yes,no,unknown,7,may,3,-1,0,unknown,no
55,management,married,tertiary,no,1613,no,no,cellular,20,aug,2,-1,0,unknown,yes
58,unemployed,divorced,primary,no,3261,no,no,cellular,5,feb,3,-1,0,unknown,no
59,admin.,divorced,unknown,no,5431,no,no,cellular,20,nov,1,-1,0,unknown,no
48,management,married,tertiary,no,1689,yes,no,cellular,18,mar,2,184,4,success,yes
34,admin.,single,secondary,no,1469,yes,yes,cellular,14,may,3,344,7,other,no
49,entrepreneur,married,primary,no,2096,no,no,cellular,12,may,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,1985,yes,no,unknown,13,may,2,-1,0,unknown,no
38,blue-collar,married,primary,no,3344,yes,no,cellular,20,apr,2,-1,0,unknown,yes
52,management,single,tertiary,no,2693,no,no,cellular,14,aug,3,-1,0,unknown,yes
70,retired,divorced,secondary,no,5613,no,no,telephone,14,jul,2,-1,0,unknown,yes
46,self-employed,single,tertiary,no,4237,yes,no,cellular,12,may,4,-1,0,unknown,yes
47,technician,single,secondary,no,1810,yes,no,unknown,30,may,4,-1,0,unknown,yes
35,blue-collar,married,primary,no,2428,no,no,cellular,20,nov,3,-1,0,unknown,no
34,management,married,tertiary,no,2315,yes,no,cellular,23,jun,1,674,4,failure,no
85,retired,married,primary,no,1837,no,no,telephone,22,jun,1,140,1,failure,yes
43,admin.,single,secondary,no,2446,yes,no,unknown,19,may,1,-1,0,unknown,yes
38,management,single,tertiary,no,4461,no,no,cellular,18,aug,8,-1,0,unknown,yes
41,management,married,tertiary,no,2283,yes,no,cellular,11,may,7,300,2,other,yes
60,retired,married,primary,no,2077,no,no,telephone,7,jul,1,-1,0,unknown,yes
51,technician,married,tertiary,no,5223,no,no,cellular,5,aug,2,-1,0,unknown,yes
47,admin.,divorced,secondary,no,1441,yes,no,cellular,24,jul,8,-1,0,unknown,yes
41,services,divorced,secondary,no,2218,yes,no,cellular,9,jul,1,-1,0,unknown,yes
57,services,married,unknown,no,2651,yes,no,unknown,30,may,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,1625,yes,yes,unknown,7,may,2,-1,0,unknown,no
77,blue-collar,married,secondary,no,7588,no,no,cellular,11,feb,2,190,1,failure,no
35,management,single,secondary,no,1026,yes,no,unknown,26,may,1,-1,0,unknown,no
52,technician,married,secondary,no,828,yes,yes,unknown,28,may,2,-1,0,unknown,no
34,technician,single,tertiary,no,6084,yes,no,unknown,21,may,2,-1,0,unknown,yes
35,blue-collar,single,secondary,no,2124,no,no,cellular,6,feb,2,-1,0,unknown,yes
27,student,married,tertiary,no,1558,yes,no,cellular,21,jul,4,-1,0,unknown,yes
37,technician,married,secondary,no,5927,yes,no,cellular,18,nov,1,-1,0,unknown,yes
55,entrepreneur,married,primary,no,2452,yes,no,cellular,19,nov,2,170,3,other,no
79,retired,married,tertiary,no,1418,no,no,cellular,16,oct,1,60,1,success,yes
37,management,single,tertiary,no,1526,yes,no,unknown,21,may,12,-1,0,unknown,no
35,self-employed,single,tertiary,no,1566,no,no,cellular,19,aug,3,-1,0,unknown,yes
51,blue-collar,married,primary,no,1725,yes,yes,telephone,10,jul,10,-1,0,unknown,no
50,blue-collar,married,secondary,no,1988,yes,no,cellular,15,may,1,352,2,failure,yes
40,unemployed,married,tertiary,no,4333,yes,no,cellular,30,apr,1,-1,0,unknown,yes
28,blue-collar,single,primary,no,537,yes,no,cellular,18,may,2,-1,0,unknown,yes
41,technician,married,unknown,no,2337,no,no,unknown,30,may,2,-1,0,unknown,no
33,blue-collar,divorced,secondary,no,1378,yes,no,cellular,29,jan,1,-1,0,unknown,no
39,technician,single,tertiary,no,4717,yes,no,cellular,9,apr,2,-1,0,unknown,no
31,management,married,tertiary,no,1779,yes,yes,cellular,28,jul,3,-1,0,unknown,no
59,blue-collar,married,secondary,no,4331,no,no,cellular,21,aug,10,-1,0,unknown,yes
34,admin.,married,secondary,no,2348,yes,no,cellular,17,apr,4,-1,0,unknown,no
32,blue-collar,single,secondary,no,8271,no,no,cellular,21,nov,1,-1,0,unknown,no
62,self-employed,married,primary,no,839,no,yes,cellular,29,jul,6,-1,0,unknown,yes
61,technician,married,secondary,no,3859,no,no,cellular,30,apr,1,87,1,other,yes
57,management,married,tertiary,no,1145,no,no,cellular,30,jul,2,-1,0,unknown,yes
61,retired,married,secondary,no,1542,no,no,unknown,5,jun,1,-1,0,unknown,yes
46,technician,single,secondary,no,8559,no,no,cellular,8,aug,2,-1,0,unknown,yes
58,management,married,secondary,no,1672,yes,no,cellular,19,nov,1,-1,0,unknown,no
37,admin.,divorced,secondary,no,5108,no,yes,cellular,21,nov,2,-1,0,unknown,yes
25,technician,single,tertiary,no,2601,yes,no,unknown,28,may,1,-1,0,unknown,yes
49,management,single,tertiary,no,5908,no,no,telephone,10,dec,1,190,1,other,yes
35,management,married,tertiary,no,1671,yes,no,unknown,16,may,1,-1,0,unknown,yes
57,services,divorced,primary,no,2413,no,no,unknown,6,jun,1,-1,0,unknown,no
37,entrepreneur,single,tertiary,no,1565,yes,no,cellular,18,jul,2,-1,0,unknown,yes
56,blue-collar,married,secondary,no,469,yes,no,unknown,7,may,1,-1,0,unknown,no
34,management,divorced,tertiary,no,2370,yes,no,cellular,10,dec,1,185,5,other,yes
48,technician,married,secondary,no,1469,no,no,unknown,28,may,1,-1,0,unknown,yes
34,technician,single,tertiary,no,3147,no,no,cellular,22,may,1,109,1,failure,yes
41,services,married,secondary,no,1510,yes,no,unknown,20,may,2,-1,0,unknown,no
29,technician,single,unknown,no,1479,no,no,cellular,15,jul,4,-1,0,unknown,no
51,unknown,married,unknown,no,1719,no,no,cellular,14,aug,2,-1,0,unknown,no
43,management,married,tertiary,no,1772,yes,no,cellular,5,may,1,-1,0,unknown,yes
31,blue-collar,married,secondary,no,2331,yes,no,cellular,13,may,1,-1,0,unknown,no
45,blue-collar,single,primary,no,1421,yes,no,cellular,30,jul,3,-1,0,unknown,no
57,technician,married,secondary,yes,1204,no,no,cellular,2,feb,1,-1,0,unknown,yes
51,services,married,secondary,no,2324,no,no,cellular,8,aug,4,-1,0,unknown,yes
38,blue-collar,married,secondary,no,1188,no,yes,cellular,15,jul,2,-1,0,unknown,no
34,blue-collar,married,primary,no,1898,yes,no,unknown,2,jun,4,-1,0,unknown,yes
41,blue-collar,married,primary,no,3793,yes,no,unknown,17,jun,3,-1,0,unknown,yes
39,blue-collar,married,unknown,no,2021,yes,no,unknown,23,may,2,-1,0,unknown,no
51,entrepreneur,married,secondary,no,2108,yes,no,cellular,17,apr,1,-1,0,unknown,yes
42,management,married,tertiary,no,1300,yes,no,cellular,17,jul,2,-1,0,unknown,no
46,management,married,secondary,no,4481,yes,no,unknown,15,may,2,-1,0,unknown,no
37,technician,single,tertiary,no,4081,yes,no,cellular,19,aug,2,141,3,failure,yes
47,blue-collar,single,secondary,no,1423,yes,no,cellular,26,jul,2,91,5,success,no
30,management,single,tertiary,no,1417,yes,no,cellular,16,jul,5,-1,0,unknown,yes
35,blue-collar,single,secondary,no,1097,yes,no,unknown,16,may,2,-1,0,unknown,yes
79,retired,married,secondary,no,2005,no,no,cellular,13,aug,3,-1,0,unknown,no
35,blue-collar,single,secondary,no,5823,yes,no,cellular,20,nov,3,-1,0,unknown,no
35,management,married,secondary,no,5359,yes,no,cellular,6,may,1,342,2,failure,yes
43,management,married,tertiary,no,1566,yes,no,unknown,7,may,3,-1,0,unknown,no
60,housemaid,married,primary,no,6679,yes,no,unknown,4,jun,4,-1,0,unknown,no
40,technician,married,secondary,no,1667,yes,no,unknown,30,may,3,-1,0,unknown,yes
49,blue-collar,married,secondary,no,3418,no,no,unknown,5,jun,2,-1,0,unknown,yes
50,management,single,tertiary,no,1937,no,no,cellular,21,jul,2,-1,0,unknown,no
55,unknown,married,primary,no,2202,no,no,cellular,27,oct,2,-1,0,unknown,yes
36,admin.,single,secondary,no,2263,yes,no,cellular,17,apr,2,-1,0,unknown,no
34,management,single,tertiary,no,1719,no,no,unknown,12,may,2,-1,0,unknown,yes
52,services,married,secondary,no,2460,no,yes,cellular,14,aug,4,-1,0,unknown,no
32,unemployed,married,tertiary,no,1397,yes,no,cellular,18,nov,1,-1,0,unknown,no
32,management,married,secondary,no,1474,yes,no,cellular,12,may,3,-1,0,unknown,no
54,blue-collar,divorced,primary,no,1233,yes,no,unknown,15,may,1,-1,0,unknown,yes
28,admin.,married,secondary,no,1432,no,no,unknown,27,may,1,-1,0,unknown,no
42,services,married,secondary,no,1058,yes,no,unknown,26,may,1,-1,0,unknown,no
51,blue-collar,married,tertiary,no,3189,no,no,unknown,12,jun,1,-1,0,unknown,no
56,blue-collar,married,unknown,no,1610,no,no,cellular,4,aug,2,-1,0,unknown,no
42,services,married,secondary,no,3275,yes,no,cellular,12,may,2,-1,0,unknown,yes
29,services,married,secondary,no,305,yes,no,unknown,4,jun,2,-1,0,unknown,no
36,self-employed,married,secondary,no,1051,yes,no,unknown,21,may,1,-1,0,unknown,no
52,entrepreneur,divorced,tertiary,no,3192,no,yes,cellular,6,feb,3,-1,0,unknown,no
45,blue-collar,divorced,primary,no,1304,yes,yes,cellular,31,jul,4,-1,0,unknown,no
32,blue-collar,single,secondary,no,1680,yes,no,unknown,20,may,5,-1,0,unknown,no
34,blue-collar,divorced,secondary,no,1521,yes,no,unknown,2,jun,2,-1,0,unknown,no
34,services,married,secondary,no,1574,yes,no,cellular,15,may,1,-1,0,unknown,yes
37,technician,single,tertiary,no,1990,yes,no,cellular,25,jul,13,-1,0,unknown,yes
25,blue-collar,married,primary,no,2009,yes,no,cellular,16,apr,1,-1,0,unknown,no
42,blue-collar,married,primary,no,1597,yes,yes,telephone,21,jul,4,-1,0,unknown,no
34,management,married,tertiary,no,2237,yes,no,cellular,17,jul,3,-1,0,unknown,no
33,unemployed,single,primary,no,1825,no,no,cellular,4,feb,1,-1,0,unknown,yes
37,self-employed,divorced,tertiary,no,2771,yes,no,unknown,23,may,2,-1,0,unknown,yes
52,management,married,secondary,no,2256,no,no,cellular,7,apr,7,-1,0,unknown,no
42,services,married,secondary,no,5582,yes,no,unknown,15,may,1,-1,0,unknown,no
26,services,married,secondary,no,5939,yes,no,cellular,11,may,2,-1,0,unknown,yes
35,blue-collar,married,secondary,no,1579,yes,yes,cellular,18,may,2,291,5,failure,yes
49,technician,married,secondary,no,5414,no,no,cellular,6,aug,2,-1,0,unknown,no
41,blue-collar,married,unknown,no,1400,no,no,cellular,2,feb,1,193,3,failure,no
42,technician,married,secondary,no,1624,yes,no,unknown,16,may,4,-1,0,unknown,no
33,services,married,secondary,no,1822,yes,no,unknown,5,may,2,-1,0,unknown,no
48,management,divorced,secondary,no,662,no,yes,cellular,29,aug,2,-1,0,unknown,no
53,management,married,tertiary,no,4352,yes,no,cellular,18,nov,4,-1,0,unknown,no
32,blue-collar,single,secondary,no,3665,yes,no,cellular,18,may,2,-1,0,unknown,yes
38,blue-collar,divorced,primary,no,1191,yes,no,cellular,12,may,1,-1,0,unknown,yes
48,blue-collar,married,unknown,no,10784,yes,no,cellular,5,may,3,-1,0,unknown,yes
48,blue-collar,married,secondary,no,1900,yes,no,unknown,26,may,1,-1,0,unknown,no
53,blue-collar,divorced,secondary,no,1630,yes,no,unknown,27,may,2,-1,0,unknown,no
61,housemaid,married,secondary,no,1420,no,no,telephone,3,feb,1,99,4,failure,no
44,blue-collar,married,primary,no,2467,yes,no,cellular,13,may,1,-1,0,unknown,no
44,management,divorced,tertiary,no,1717,yes,no,unknown,7,may,2,-1,0,unknown,no
46,management,married,tertiary,no,9153,no,no,cellular,21,aug,5,-1,0,unknown,no
46,technician,single,secondary,no,3175,no,no,telephone,20,oct,1,-1,0,unknown,yes
35,management,married,tertiary,no,1569,no,no,unknown,20,may,1,-1,0,unknown,no
48,management,divorced,tertiary,no,2710,no,no,cellular,11,aug,3,-1,0,unknown,yes
33,services,married,secondary,no,1317,yes,yes,cellular,16,jul,1,-1,0,unknown,no
82,retired,married,secondary,no,9710,no,no,telephone,9,jun,1,64,12,failure,yes
34,self-employed,married,secondary,no,1832,yes,no,cellular,11,jul,2,-1,0,unknown,no
46,management,married,primary,no,6184,yes,no,cellular,22,jul,6,-1,0,unknown,yes
36,technician,single,tertiary,no,2351,yes,no,cellular,13,apr,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,3365,yes,no,cellular,16,jul,2,-1,0,unknown,yes
45,services,single,secondary,no,4869,yes,no,cellular,12,nov,2,97,2,success,yes
65,retired,married,primary,no,9538,no,no,cellular,12,nov,1,-1,0,unknown,no
52,blue-collar,divorced,primary,no,1808,no,no,cellular,5,feb,1,-1,0,unknown,no
46,technician,married,secondary,no,4217,yes,no,cellular,27,jan,1,-1,0,unknown,yes
55,housemaid,married,primary,no,1580,no,yes,unknown,5,jun,1,-1,0,unknown,yes
60,self-employed,divorced,tertiary,no,2801,no,no,unknown,9,jun,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,2242,yes,no,unknown,23,may,3,-1,0,unknown,no
35,blue-collar,married,primary,no,2713,yes,no,cellular,16,apr,1,-1,0,unknown,no
37,housemaid,married,tertiary,no,12641,no,no,cellular,12,aug,2,79,1,failure,no
41,housemaid,single,primary,no,1602,yes,no,unknown,6,may,3,-1,0,unknown,no
52,technician,divorced,secondary,no,1438,yes,yes,cellular,13,may,2,292,1,failure,yes
44,management,married,secondary,no,2891,no,no,cellular,23,jul,2,-1,0,unknown,no
42,management,married,tertiary,no,1407,no,yes,telephone,25,jul,1,-1,0,unknown,no
49,technician,married,secondary,no,2734,no,no,cellular,18,aug,4,-1,0,unknown,yes
50,admin.,married,secondary,no,1437,yes,no,unknown,7,may,2,-1,0,unknown,no
32,technician,single,secondary,no,2246,no,no,cellular,20,aug,3,-1,0,unknown,no
50,blue-collar,married,secondary,no,1905,yes,no,telephone,9,jul,2,-1,0,unknown,no
41,technician,divorced,secondary,no,2318,yes,no,cellular,10,feb,2,180,5,failure,yes
52,self-employed,married,tertiary,no,5434,no,no,cellular,19,nov,3,-1,0,unknown,no
54,entrepreneur,divorced,primary,no,1674,yes,no,unknown,7,may,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,1612,yes,no,unknown,16,may,1,-1,0,unknown,yes
34,management,single,tertiary,no,1447,no,no,cellular,21,aug,5,-1,0,unknown,yes
60,entrepreneur,married,secondary,no,1407,no,no,unknown,16,jun,1,-1,0,unknown,no
39,admin.,married,secondary,no,2731,yes,no,cellular,8,may,2,85,7,success,no
30,blue-collar,single,secondary,no,1931,no,yes,cellular,8,jul,1,-1,0,unknown,yes
82,retired,married,secondary,no,9734,no,no,telephone,6,apr,1,118,11,success,no
45,unemployed,single,unknown,no,4785,yes,no,cellular,22,may,1,95,1,failure,no
35,blue-collar,married,primary,no,4569,no,no,cellular,18,nov,1,-1,0,unknown,no
30,management,single,tertiary,no,1504,no,no,cellular,20,oct,2,146,2,failure,yes
59,housemaid,single,secondary,no,1672,no,no,cellular,8,oct,1,-1,0,unknown,no
29,technician,single,secondary,no,1718,no,yes,cellular,9,jul,5,-1,0,unknown,no
49,blue-collar,married,secondary,no,1379,yes,no,cellular,21,jul,1,-1,0,unknown,no
33,management,married,tertiary,no,1840,yes,no,unknown,27,may,6,-1,0,unknown,no
45,admin.,married,secondary,no,1425,yes,no,cellular,17,jul,3,-1,0,unknown,no
